"37,936,530.26 ",""," 2,764,131 "," 42,000,980 ",""," 37,766,299.32 ",""," 4,234,658.91 ","","","","","","","","",""
"Project Details","Cost Center","Customer PO Number","Customer PO Value","Remaing Balance in PO","Vendor Name","Vendor Name","Cantik PO Date"," Cantik PO Value "," Remaining Bal In PO ","Vendor Invoice Frequency","Vendor Inv Number","Vendor Inv Date"," Vendor Inv Value Taxable "," Invoice Value Including GST "," TDS Ded "," Net Payble ","Payment Status from NTT"," Payment Value ","Payment Date"," Pending Payment ","Remarks","Cantik Invoice No","Cantik Invoice Date"," Cantik Inv Value Taxable "," Invoice Value Including GST "," TDS Ded "," Net Receivables ","Payment Recpt Date","Payment Advise No."
"","GGN-NTT-HMSI-RPA-PT-01","4500083659","","","BUSYBOTS PRIVATE LIMITED","","","","","","10/2024","30-Apr-24"," 127,000.00 "," 149,860.00 "," 12,700 "," 137,160 "," Recd. "," 137,160.00 ","3-May-24"," -   ","","","","","","","","",""
"","GGN-NTT-HMSI-RPA-PT-01","4500083659","","","BUSYBOTS PRIVATE LIMITED","","","","","","11/2024","31-May-24"," 127,000.00 "," 149,860.00 "," 12,700 "," 137,160 "," Recd. "," 137,160.00 ","10-Jul-24"," -   ","","","","","","","","",""
"","GGN-NTT-HMSI-RPA-PT-01","4500083659","","","BUSYBOTS PRIVATE LIMITED","","","","","","14/2024","28-Jun-24"," 127,000.00 "," 149,860.00 "," 12,700 "," 137,160 "," Recd. "," 137,160.00 ","2-Aug-24"," -   ","","","","","","","","",""
"","GGN-NTT-HMSI-RPA-PT-01","4500083659","","","BUSYBOTS PRIVATE LIMITED","","","","","","17/2024","31-Jul-24"," 127,000.00 "," 149,860.00 "," 12,700 "," 137,160 "," Recd. "," 137,160.00 ","4-Sep-24"," -   ","","","","","","","","",""
"","GGN-NTT-HMSI-RPA-PT-01","4500083659","","","BUSYBOTS PRIVATE LIMITED","","","","","","19/2024","31-Aug-24"," 127,000.00 "," 149,860.00 "," 12,700 "," 137,160 "," Recd. "," 137,160.00 ","20-Dec-24"," -   ","","","","","","","","",""
"","GGN-NTT-BMW-RPA- PT 01","4500083659","","","BUSYBOTS PRIVATE LIMITED","","","","","","21/2024","30-Sep-24"," 127,000.00 "," 149,860.00 "," 12,700 "," 137,160 "," Recd. "," 137,160.00 ","20-Dec-24"," -   ","","","","","","","","",""
"","GGN-NTT-BMW-RPA- PT 01","4500093722","","","BUSYBOTS PRIVATE LIMITED","","","","","","23/2024","16-Oct-24"," 428,145.00 "," 505,211.00 "," 42,815 "," 462,397 "," Recd. "," 462,396.00 ","20 Dec or 15 Jan"," 1 ","","","","","","","","",""
"","GGN-NTT-HMSI-RPA-PT-01","4500083659","","","BUSYBOTS PRIVATE LIMITED","","","","","","25/2024","4-Nov-24"," 127,000.00 "," 149,860.00 "," 12,700 "," 137,160 "," Recd. "," 137,160.00 ","30-Jan-25"," -   ","","","","","","","","",""
"","NTT-BMW- BMW-penetration Testing  - PT-0","4500094574","","","BUSYBOTS PRIVATE LIMITED","","","","","","30/2024","18-Jan-25"," 292,000.00 "," 344,560.00 "," 29,200 "," 315,360 "," Recd. "," 315,360.00 ","20-Feb-25"," -   ","","","","","","","","",""
"","NTT-BMW- BMW-penetration Testing  - PT-0","4500094574","","","BUSYBOTS PRIVATE LIMITED","","","","","","37/2024","4-Feb-25"," 146,000.00 "," 172,280.00 "," 14,600 "," 157,680 "," Recd. "," 157,680.00 ","30-Jan-25"," -   ","","","","","","","","",""
